NAME_LATIN,Year,age
D. LEBADEVN,2019.0,38.0
D. LEBIDIOY,2019.0,65.0
D. LEICVN (NHSOS)_6,2018.0,60.0
D. LEROY (NHSOS)_14,2019.0,57.0
D. LEXAINVN,2019.0,61.0
D. LEYKADOS_1,2019.0,53.0
D. LIMNHS,2019.0,58.0
D. LITOXVROY,2019.0,47.0
D. LOYTRAKIOY PERAXVRAS_5,2019.0,32.0
D. LOYTROPOLEVS MEUANVN,2019.0,39.0
D. LOYTRVN AIDHCOY,2019.0,39.0
D. MALIVN,2019.0,36.0
D. MANDRAS,2019.0,48.0
D. MARAUVNOS_1,2019.0,44.0
D. MARKOPOYLOY MESOGAIAS_1,2019.0,47.0
D. MEGALOPOLEVS,2019.0,39.0
D. MEGANHSIOY_4,2019.0,48.0
D. MEGAREVN_1,2019.0,49.0
D. MEGISTHS (NHSOS)_1,2019.0,61.0
D. MELIGALA,2019.0,40.0
D. MELISSIVN,2019.0,44.0
D. MENEMENHS,2019.0,37.0
D. METAMORFVSEVS,2019.0,35.0
D. METSOBOY,2019.0,61.0
D. MHLOY_4,2019.0,57.0
D. MHUYMNHS,2019.0,45.0
D. MIDEAS,2019.0,57.0
D. MOIRVN,2018.0,58.0
D. MOLAVN,2019.0,44.0
D. MOSXATOY,2019.0,36.0
D. MYKONIVN (NHSOS MYKONOS)_1,2019.0,35.0
D. MYRINAIVN_1,2019.0,51.0
D. MYTILHNHS,2019.0,40.0
D. NAOYSHS,2019.0,29.0
D. NAYPAKTOY,2019.0,47.0
D. NAYPLIEVN_1,2019.0,36.0
D. NEAPOLEVS_3,2019.0,43.0
D. NEAPOLHS,2018.0,60.0
D. NEAS ALIKARNASSOY,2019.0,41.0
D. NEAS ARTAKHS,2019.0,51.0
D. NEAS ERYURAIAS,2019.0,42.0
D. NEAS FILADELFEIAS,2019.0,32.0
D. NEAS IVNIAS_1,2019.0,32.0
D. NEAS IVNIAS_2,2019.0,39.0
D. NEAS KYDVNIAS,2019.0,54.0
D. NEAS MAKRHS,2019.0,47.0
D. NEAS SMYRNHS,2019.0,32.0
D. NEAS XALKHDONOS,2019.0,29.0
D. NEAS ZIXNHS,2019.0,61.0
D. NEOY CYXIKOY,2019.0,29.0
D. NEVN LIOSIVN,2019.0,35.0
D. NIGRITHS,2019.0,61.0
D. NIKAIAS,2019.0,34.0
D. OINOYSSVN (EPI THS OMVNYMOY NHSOY)_1,2019.0,55.0
D. ORESTIADOS,2018.0,40.0
D. ORXOMENOY,2018.0,40.0
D. PAIANIAS,2019.0,52.0
D. PALAIOY FALHROY,2019.0,41.0
D. PALAMA,2019.0,61.0
D. PALLHNHS,2019.0,41.0
D. PAPAGOY,2019.0,30.0
D. PARABOLAS,2018.0,38.0
D. PARAMYUIAS,2019.0,36.0
D. PARAPOTAMOY_1,2018.0,41.0
D. PARGAS,2019.0,59.0
D. PAROY_1,2019.0,46.0
D. PATMOY (NHSOS)_5,2019.0,60.0
D. PATREVN,2019.0,34.0
D. PEIRAIVS_1,2019.0,34.0
D. PERAMATOS_1,2019.0,28.0
D. PERISTERIOY,2019.0,44.0
D. PETROYPOLEVS,2019.0,30.0
D. PEYKHS,2019.0,24.0
D. PLVMARIOY,2019.0,43.0
D. POLIXNHS,2019.0,45.0
D. POLIXNITOY_1,2019.0,43.0
D. POLYGYROY,2019.0,49.0
D. POLYKASTROY,2018.0,26.0
D. POROY (NHSOS)_2,2019.0,46.0
D. PREBEZHS_1,2019.0,51.0
D. PROSOTSANHS,2019.0,37.0
D. PTOLEMAIDOS,2019.0,34.0
D. PYLAIAS,2019.0,29.0
D. PYLOY_1,2018.0,46.0
D. PYRGOY,2018.0,45.0
D. REUYMNHS,2019.0,49.0
D. RODOY (EPI THS OMVNYMOY NHSOY)_1,2019.0,51.0
