NAME_LATIN,Year,age
K. PHGHS_4,2019.0,51.0
K. PIKERMIOY,2019.0,52.0
K. PLAGIAS_1,2019.0,61.0
K. PLATANOY_6,2019.0,22.0
K. PLATEOS_3,2019.0,49.0
K. POLYDENDRIOY_1,2019.0,38.0
K. POLYNERIOY_1,2019.0,9.0
K. PORTARIAS_1,2019.0,43.0
K. POTAMOY,2019.0,54.0
K. POYLIURVN,2019.0,48.0
K. PRINE,2019.0,53.0
K. PROSKYNHTVN,2019.0,60.0
K. PTELEOY,2019.0,49.0
K. PYRGADIKIVN,2019.0,51.0
K. RAFHNAS,2019.0,35.0
K. RAXVN_1,2019.0,49.0
K. RIZOMYLOY_2,2019.0,55.0
K. RIZVMATOS,2019.0,61.0
K. RODAYGHS,2018.0,-1.0
K. ROYSSOY,2018.0,60.0
K. SAGKRIOY_1,2019.0,35.0
K. SAMARINHS,2018.0,60.0
K. SARABALIOY,2019.0,45.0
K. SARVNIDOS_1,2019.0,41.0
K. SELEROY,2018.0,60.0
K. SELHNIVN (NHSOS SALAMINA),2019.0,39.0
K. SELLASIAS,2018.0,36.0
K. SERIFOY (EDRA THS OMVNYMOY NHSOY)_3,2019.0,42.0
K. SIKINOY (NHSOS)_1,2018.0,34.0
K. SKALAS VRVPOY_2,2019.0,37.0
K. SKARFEIAS,2019.0,48.0
K. SKOPELOY_1,2019.0,41.0
K. SKOYRA,2018.0,25.0
K. SKOYRTVN,2019.0,24.0
K. SOFIKOY_3,2019.0,49.0
K. SOKARA,2019.0,30.0
K. SOYRVTHS,2019.0,52.0
K. STADIOY,2019.0,42.0
K. STAMATAS,2019.0,56.0
K. STAYROY_8,2019.0,50.0
K. STEIRIOY,2019.0,25.0
K. STEMNITSHS_1,2019.0,60.0
K. STOMIOY_3,2018.0,41.0
K. STRYMONIKOY,2019.0,61.0
K. STYCHS,2019.0,47.0
K. SXHMATARIOY,2019.0,35.0
K. SXINVN,2019.0,58.0
K. SXOLARIOY,2019.0,30.0
K. SYBOTVN_2,2019.0,42.0
K. SYKAMINOY,2019.0,52.0
K. SYKEAS_6,2019.0,59.0
K. SYKOYRIOY,2019.0,61.0
K. TAYRVNITOY,2019.0,56.0
K. TOLOY_2,2019.0,33.0
K. TOYMPAS_1,2018.0,22.0
K. TRIANTAROY,2019.0,34.0
K. TRIKERIOY_7,2019.0,58.0
K. TRILOFOY_4,2019.0,35.0
K. TROPAIVN_2,2019.0,41.0
K. TSAGKARADAS,2019.0,50.0
K. TSEPELOBOY_1,2019.0,61.0
K. TYLISOY,2019.0,61.0
K. TYROY,2019.0,45.0
K. UERMHS,2019.0,38.0
K. UOYRIAS,2019.0,33.0
K. URACANOY,2019.0,116.0
K. VRAIOKASTROY_2,2019.0,49.0
K. VREVN,2019.0,61.0
K. VRVPOY_1,2019.0,33.0
K. XALIKIOY,2019.0,11.0
K. XALKHDONOS,2019.0,51.0
K. XALKIADVN_1,2018.0,49.0
K. XALKIOPOYLVN,2019.0,61.0
K. XANDRINOY,2018.0,39.0
K. XERSONHSOY,2018.0,36.0
K. XILIODENDROY,2019.0,61.0
K. XILIOMODIOY,2018.0,52.0
K. XONDROY,2018.0,46.0
K. XORTIATH,2019.0,53.0
K. XRANVN_2,2018.0,42.0
K. XRISSOY (XRYSOY),2019.0,53.0
K. XRYSAYGHS_1,2019.0,47.0
K. ZAGKLIBERIOY,2019.0,33.0
K. ZAGORAS,2019.0,48.0
K. ZAROY,2018.0,-1.0
K. ZIROY_1,2019.0,61.0
K. ZITSHS,2019.0,61.0
